sz002644 佛慈制药
sz002666 德联集团
sz002051 中工国际
sh600388 龙净环保
sh600673 东阳光铝
sz002210 飞马国际
sz002033 丽江旅游
sh600028 中国石化
sh600993 马应龙
sh600721 ST百花
sh600136 道博股份
sz002150 江苏通润
sz000587 ST金叶
sz300213 佳讯飞鸿
sh600475 华光股份
sz000780 平庄能源
sz000681 *ST 远东
sz000700 模塑科技
sz002467 二六三
sh600580 卧龙电气
sh600093 禾嘉股份
sz002495 佳隆股份
sh600896 中海海盛
sz002537 海立美达
sh600960 滨州活塞
sz000155 *ST川化
sz002278 神开股份
sz000890 法 尔 胜
sz300287 飞利信
sz000987 广州友谊
sz002050 三花股份
sz002551 尚荣医疗
sh600547 山东黄金
sh600619 海立股份
sz300144 宋城股份
sh600143 金发科技
sh601099 太平洋
sz002431 棕榈园林
sz002217 联合化工
sh600882 大成股份
sz000922 ST阿继
sz300020 银江股份
sh600084 *ST中葡
sz000011 深物业A
sh600999 招商证券
sz300234 开尔新材
sz300181 佐力药业
sh600617 ST联华
sz002322 理工监测
sh600846 同济科技
sh600805 悦达投资
sz000576 *ST甘化
sz300298 三诺生物
sz002082 栋梁新材
sh600311 荣华实业
sz002173 山 下 湖
sz000652 泰达股份
sz300211 亿通科技
sz000516 开元投资
sz000797 中国武夷
sz000090 深 天 健
sh600455 交大博通
sz002566 益盛药业
sz002475 立讯精密
sz000796 易食股份
sh600290 华仪电气
sz300268 万福生科
sz300285 国瓷材料
sz002208 合肥城建
sz002317 众生药业
sz002308 威创股份
sh600114 东睦股份
sz000791 西北化工
sz002558 世纪游轮
sz000600 建投能源
sh600456 宝钛股份
sz300047 天源迪科
sh600545 新疆城建
sh600833 第一医药
sz002630 华西能源
sz000813 天山纺织
sz000400 许继电气
sz000615 湖北金环
sz300007 汉威电子
sz002127 新民科技
sz002531 天顺风能
sz300172 中电环保
sz002385 大北农
sh600668 尖峰集团
sh600090 啤酒花
sz300192 科斯伍德
sh600697 欧亚集团
sh600066 宇通客车
sh600236 桂冠电力
sz300258 精锻科技
sh601168 西部矿业
sh600369 西南证券
sz000506 中润资源
sz000736 重庆实业
sz300079 数码视讯
sz002401 中海科技
sh600458 时代新材
sz000752 西藏发展
sh600237 铜峰电子
sh600620 天宸股份
sz002393 力生制药
sz300116 坚瑞消防
sh600629 棱光实业
sz000977 浪潮信息
sh600995 文山电力
sh600315 上海家化
sz002265 西仪股份
sz300198 纳川股份
sh600247 成城股份
sz002578 闽发铝业
sz002064 华峰氨纶
sz002254 泰和新材
sz000967 上风高科
sh600068 葛洲坝
sz300267 尔康制药
sz300196 长海股份
sz000007 零七股份
sz002546 新联电子
sz002668 奥马电器
sh600737 中粮屯河
sh600866 星湖科技
sh600771 ST东盛
sz000025 特 力Ａ
sh600764 中电广通
sz002144 宏达高科
sz300214 日科化学
sh600723 西单商场
sz002503 搜于特
sz300147 香雪制药
sz002111 威海广泰
sh600035 楚天高速
sz002594 比亚迪
sz300199 翰宇药业
sz000507 珠海港
sh600783 鲁信高新
sh600323 南海发展
sz000729 燕京啤酒
sz000561 烽火电子
sh600219 南山铝业
sz000042 深 长 城
sz000869 张 裕Ａ
sz000898 鞍钢股份
sz002450 康得新
sh601117 中国化学
sz000909 数源科技
sz000868 安凯客车
sh600755 厦门国贸
sh600862 南通科技
sh600368 五洲交通
sz000925 众合机电
sz002536 西泵股份
sz002651 利君股份
sh600784 鲁银投资
sh600859 王府井
sz000739 普洛股份
sh600432 吉恩镍业
sz000937 冀中能源
sh600063 皖维高新
sz300300 汉鼎股份
sz000026 飞亚达Ａ
sh600622 嘉宝集团
sh600230 沧州大化
sh600339 天利高新
sh600667 太极实业
sh600698 ST轻骑
sh600389 江山股份
sh600031 三一重工
sz000553 沙隆达Ａ
sh600386 北巴传媒
sz000006 深振业Ａ
sz002567 唐人神
sz000957 中通客车
sh600677 航天通信
sz000590 紫光古汉
sz000665 武汉塑料
sh600792 ST马龙
sz300097 智云股份
sh600098 广州控股
sz000662 *ST索芙
sh600741 华域汽车
sz002535 林州重机
sh600551 时代出版
sz000151 中成股份
sz002070 众和股份
sz000718 苏宁环球
sh600516 方大炭素
sz000861 海印股份
sz002179 中航光电
sz300082 奥克股份
sz002671 龙泉股份
sz300313 天山生物
sz002505 大康牧业
sz300086 康芝药业
sh600500 中化国际
sz000725 京东方Ａ
sz000062 深圳华强
sh600618 氯碱化工
sh600391 成发科技
sh600570 恒生电子
sh600685 广船国际
sh600794 保税科技
sh600358 国旅联合
sh600331 宏达股份
sh600662 强生控股
sz000952 广济药业
sz002209 达 意 隆
sh600295 鄂尔多斯
sz000912 泸 天 化
sz000897 津滨发展
sh600860 北人股份
sz000416 民生投资
sz300102 乾照光电
sz000782 美达股份
sh600496 精工钢构
sz000762 西藏矿业
sh600511 国药股份
sz300245 天玑科技
sz002547 春兴精工
sh600115 ST东航
sh600399 抚顺特钢
sz002087 新野纺织
sz002556 辉隆股份
sz002215 诺 普 信
sz002314 雅致股份
sh600146 大元股份
sz300021 大禹节水
sz000544 中原环保
sh600825 新华传媒
sz002509 天广消防
sh600893 航空动力
sh600890 *ST中房
sh600020 中原高速
sz300142 沃森生物
sz002049 晶源电子
sz002253 川大智胜
sz002494 华斯股份
sz000504 ST传媒
sz002493 荣盛石化
sz000402 金 融 街
sz002333 罗普斯金
sz300023 宝德股份
sh600983 合肥三洋
sh600488 天药股份
sz300288 朗玛信息
sz000002 万 科Ａ
sh600981 江苏开元
sz002596 海南瑞泽
sz002477 雏鹰农牧
sh601107 四川成渝
sz002202 金风科技
sz000975 科 学 城
sh600466 迪康药业
sz002584 西陇化工
sz300262 巴安水务
sz002646 青青稞酒
sh600980 北矿磁材
sz002017 东信和平
sz000028 国药一致
sz300112 万讯自控
sh600000 浦发银行
sz300210 森远股份
sz002029 七 匹 狼
sz002120 新海股份
sz002058 威 尔 泰
sz000622 S*ST恒立
sz002340 格林美
sz300271 紫光华宇
sh600080 ST金花
sh600228 昌九生化
sh600241 时代万恒
sz000585 *ST东电
sz002155 辰州矿业
sh600602 广电电子
sh600552 方兴科技
sh600706 ST长信
sz300272 开能环保
sz002201 九鼎新材
sz002492 恒基达鑫
sz002562 兄弟科技
sh600802 福建水泥
sz000710 天兴仪表
sz002200 *ST大地
sh600004 白云机场
sh600611 大众交通
sz000401 冀东水泥
sz300170 汉得信息
sz000973 佛塑科技
sz000156 *ST 嘉瑞
sh600275 ST昌鱼
sz002476 宝莫股份
sz002302 西部建设
sh600036 招商银行
sz002132 恒星科技
sh600019 宝钢股份
sz300074 华平股份
sh600568 中珠控股
sh600392 太工天成
sz002003 伟星股份
sh600727 *ST鲁北
sh600867 通化东宝
sh600309 烟台万华
sz300177 中海达
sz002310 东方园林
sz000056 *ST国商
sh600767 运盛实业
sh600400 红豆股份
sh600128 弘业股份
sh600285 羚锐制药
sz002642 荣之联
sz000632 三木集团
sh600803 威远生化
sz002157 正邦科技
sz000623 吉林敖东
sh600522 中天科技
sz002588 史丹利
sz002129 中环股份
sz000586 汇源通信
sz000976 春晖股份
sh600113 浙江东日
sz000607 *ST华控
sh600707 彩虹股份
sz300299 富春通信
sz002576 通达动力
sh600058 五矿发展
sh600560 金自天正
sz002057 中钢天源
sz300274 阳光电源
sz000014 沙河股份
sz002285 世联地产
sz002300 太阳电缆
sz300041 回天胶业
sh600248 延长化建
sz000598 兴蓉投资
sz000676 ST思达
sz002597 金禾实业
sz000571 新大洲Ａ
sz002247 帝龙新材
sz000539 粤电力Ａ
sz002093 国脉科技
sz002484 江海股份
sz000429 粤高速Ａ
sh600877 中国嘉陵
sz000415 渤海租赁
sz300293 蓝英装备
sz002639 雪人股份
sh600312 平高电气
sz002041 登海种业
sz300292 吴通通讯
sh601668 中国建筑
sh600774 汉商集团
sz000930 中粮生化
sz002162 斯 米 克
sh601588 北辰实业
sz300226 上海钢联
sz002327 富安娜
sh600291 西水股份
sz000100 TCL 集团
sh600537 海通集团
sz002269 美邦服饰
sh600559 老白干酒
sh600717 天津港
sz002624 金磊股份
sz002386 天原集团
sh600665 天地源
sz002527 新时达
sz002522 浙江众成
sh600268 国电南自
sh600768 宁波富邦
sz300222 科大智能
sz300120 经纬电材
sh600678 ST金顶
sz000882 华联股份
sh600525 长园集团
sh600381 ST贤成
sh600119 长江投资
sh600409 三友化工
sh600830 香溢融通
sh601888 中国国旅
sz002406 远东传动
sz000027 深圳能源
sz000001 深发展Ａ
sh600561 江西长运
sh600739 辽宁成大
sh600076 *ST华光
sz002456 欧菲光
sz300216 千山药机
sz002224 三 力 士
sh600970 中材国际
sz002359 齐星铁塔
sh600151 航天机电
sz000789 江西水泥
sh600010 包钢股份
sh600612 老凤祥
sh600645 ST中源
sz300282 汇冠股份
sh600436 片仔癀
sh600546 山煤国际
sz300109 新开源
sh600517 置信电气
sz300003 乐普医疗
sz000900 现代投资
sh600223 鲁商置业
sz300308 中际装备
sz300162 雷曼光电
sz000541 佛山照明
sh600125 铁龙物流
sz000666 经纬纺机
sz002598 山东章鼓
sz002581 万昌科技
sz000158 常山股份
sh600343 航天动力
sz002198 嘉应制药
sh600850 华东电脑
sz000638 万方地产
sz002400 省广股份
sz002031 巨轮股份
sh600710 常林股份
sh600572 康恩贝
sz000905 厦门港务
sz002419 天虹商场
sz002026 山东威达
sz300067 安诺其
sh600498 烽火通信
sz002451 摩恩电气
sh600873 五洲明珠
sh600133 东湖高新
sz002648 卫星石化
sz002095 生 意 宝
sz300225 金力泰
sh600272 开开实业
sz002570 贝因美
sz000960 锡业股份
sz000735 罗 牛 山
sz002649 博彦科技
sz002601 佰利联
sz002524 光正钢构
sz002447 壹桥苗业
sz300280 南通锻压
sz000889 渤海物流
sh600408 安泰集团
sz000833 贵糖股份
sz300150 世纪瑞尔
sz002372 伟星新材
sh600778 友好集团
sz002097 山河智能
sz002207 准油股份
sh600509 天富热电
sz000301 东方市场
sz300191 潜能恒信
sh600406 国电南瑞
sh600355 精伦电子
sz300070 碧水源
sz000029 深深房Ａ
sz002319 乐通股份
sh600883 博闻科技
sz002342 巨力索具
sh600053 中江地产
sz002248 华东数控
sz002292 奥飞动漫
sz002054 德美化工
sz000825 太钢不锈
sh600829 三精制药
sz000688 *ST朝华
sh600838 上海九百
sz300176 鸿特精密
sh600848 自仪股份
sz002641 永高股份
sz300034 钢研高纳
sz002482 广田股份
sz002073 软控股份
sz000610 西安旅游
sh600162 香江控股
sh600163 福建南纸
sh600167 联美控股
sh600169 太原重工
sh600170 上海建工
sh600171 上海贝岭
sh600172 黄河旋风
sh600173 卧龙地产
sh600175 美都控股
sh600176 中国玻纤
sh600177 雅戈尔
sh600178 东安动力
sh600179 *ST黑化
sh600180 *ST九发
sh600184 新华光
sh600185 格力地产
sh600187 国中水务
sh600189 吉林森工
sh600192 长城电工
sh600193 创兴置业
sh600195 中牧股份
sh600197 伊力特
sh600200 江苏吴中
sh600201 金宇集团
sh600202 哈空调
sh600203 福日电子
sh600207 ST安彩
sh600209 *ST罗顿
sh600210 紫江企业
sh600211 西藏药业
sh600401 *ST申龙
sh600870 ST厦华
sh600998 九州通
sh601000 唐山港
sh601098 中南传媒
sh601101 昊华能源
sh601158 重庆水务
sh601177 杭齿前进
sh601188 龙江交通
sh601288 农业银行
sh601369 陕鼓动力
sh601377 兴业证券
sh601518 吉林高速
sh601717 郑煤机
sh601718 际华集团
sh601818 光大银行
sz002703 浙江世宝
sh601567 三星电气
sz002688 金河生物
sh601616 广电电气
sz300330 华虹计通
sh601336 新华保险
sz300343 联创节能
sh601992 金隅股份
sz300326 凯利泰
sh601566 九牧王
sz002694 顾地科技
sz002691 石煤装备
sz300324 旋极信息
sz300340 科恒股份
sh601636 旗滨集团
sh603128 华贸物流
sh601118 海南橡胶
sz300322 硕贝德
sh601313 江南嘉捷
sh603399 新华龙
sz002692 远程电缆
sz300352 北信源
sh601258 庞大集团
sz002678 珠江钢琴
sh601799 星宇股份
sh601137 博威合金
sz002687 乔治白
sh601555 东吴证券
sz002695 煌上煌
sh601311 骆驼股份
sz002702 腾新食品
sh601028 玉龙股份
sz300344 太空板业
sz002679 福建金森
sz300356 光一科技
sh601798 蓝科高新
sz300318 博晖创新
sh601388 怡球资源
sh601519 大智慧
sz300327 中颖电子
sz300353 东土科技
sh601058 赛轮股份
sz300334 津膜科技
sh601700 风范股份
sh601339 百隆东方
sh601199 江南水务
sz002686 亿利达
sh603077 和邦股份
sh601901 方正证券
sz002697 红旗连锁
sh601100 恒立油缸
sh603366 日出东方
sz300345 红宇新材
sh601608 中信重工
sz002699 美盛文化
sh601113 华鼎锦纶
sz002677 浙江美大
sz002680 黄海机械
sh601933 永辉超市
sz002690 美亚光电
sz300355 蒙草抗旱
sz300337 银邦股份
sh601515 东风股份
sh603000 人民网
sh601996 丰林集团
sh601633 长城汽车
sz300347 泰格医药
sh603008 喜临门
sz002689 博林特
sz300323 华灿光电
sh601669 中国水电
sz300350 华鹏飞
sh601928 凤凰传媒
sh603333 明星电缆
sh601908 京运通
sh601216 内蒙君正
sh601789 宁波建工
sh601929 吉视传媒
sh601238 广汽集团
sz300339 润和软件
sh601126 四方股份
sz300333 兆日科技
sz300335 迪森股份
sh601222 林洋电子
sz300336 新文化
sz300349 金卡股份
sz002682 龙洲股份
sh601880 大连港
sh603766 隆鑫通用
sz300332 天壕节能
sz002684 猛狮科技
sh601800 中国交建
sh601965 中国汽研
sh603001 奥康国际
sz300338 开元仪器
sz300346 南大光电
sh601012 隆基股份
sh601558 华锐风电
sh601010 文峰股份
sz300319 麦捷科技
sz002681 奋达科技
sz300341 麦迪电气
sh600094 大名城
sh601599 鹿港科技
sz300325 德威新材
sz002676 顺威股份
sz002693 双成药业
sz300342 天银机电
sz002696 百洋股份
sh601890 亚星锚链
sz002675 东诚生化
sh603306 华懋科技
sz002733 雄韬股份
sz002736 国信证券
sz300401 花园生物
sh601579 会稽山
sz002722 金轮股份
sh603088 宁波精达
sz002712 思美传媒
sz300376 易事特
sz300406 九强生物
sh603518 维格娜丝
sz002723 金莱特
sz300365 恒华科技
sh601226 华电重工
sz002726 龙大肉食
sz002735 王子新材
sh603169 兰石重装
sh603017 中衡设计
sz002724 海洋王
sh603369 今世缘
sz300362 天翔环境
sz002711 欧浦智网
sz300390 天华超净
sh601016 节能风电
sh603368 柳州医药
sh603456 九州药业
sz002717 岭南园林
sh603806 福斯特
sz300407 凯发电气
sz300363 博腾股份
sz300381 溢多利
sh603636 南威软件
sz300370 安控科技
sh600917 重庆燃气
sz300392 腾信股份
sz300385 雪浪环境
sz300402 宝色股份
sz300375 鹏翎股份
sh600023 浙能电力
sh603688 石英股份
sz300398 飞凯材料
sh603188 亚邦股份
sz300397 天和防务
sz300410 正业科技
sz300388 国祯环保
sh603328 依顿电子
sz300384 三联虹普
sh603889 新澳股份
sz002721 金一文化
sz002708 光洋股份
sz300405 科隆精化
sh603111 康尼机电
sh603588 高能环境
sz300367 东方网力
sz002731 萃华珠宝
sh603011 合锻股份
sz002714 牧原股份
sh603168 莎普爱思
sh603288 海天味业
sz002738 中矿资源
sz300403 地尔汉宇
sz002727 一心堂
sz300373 扬杰科技
sz002707 众信旅游
sh603998 方盛制药
sz300391 康跃科技
sh601225 陕西煤业
sz002713 东易日盛
sz002716 金贵银业
sz002725 跃岭股份
sz300358 楚天科技
sh603988 中电电机
sz300382 斯莱克
sz002737 葵花药业
sh601969 海南矿业
sz300379 东方通
sh603555 贵人鸟
sz300377 赢时胜
sz002728 台城制药
sh603126 中材节能
sh603010 万盛股份
sz300368 汇金股份
sz002719 麦趣尔
sz002730 电光科技
sz300395 菲利华
sz300411 金盾股份
sh603609 禾丰牧业
sz002718 友邦吊顶
sz300380 安硕信息
sz002705 新宝股份
sh603606 东方电缆
sz300369 绿盟科技
sz002732 燕塘乳业
sz300372 欣泰电气
sh601015 陕西黑猫
sh603099 长白山
sh600571 信雅达
sh600711 盛屯矿业
sh600319 亚星化学
sh600280 南京中商
sh600165 新日恒力
sh600738 兰州民百
sh600336 澳柯玛
sh600075 新疆天业
sh601398 工商银行
sh600077 宋都股份
sh600060 海信电器
sh600257 大湖股份
sh600269 赣粤高速
sh600206 有研硅股
sh600405 动力源
sh600566 洪城股份
sh600183 生益科技
sh600267 海正药业
sh601919 中国远洋
sh601766 中国南车
sh600328 兰太实业
sh600986 科达股份
sh600190 锦州港
sh600387 海越股份
sh600630 龙头股份
sh601886 江河幕墙
sh600069 银鸽投资
sh600104 上汽集团
sh600871 S仪化
sh600021 上海电力
sh600863 内蒙华电
sh600676 交运股份
sh600122 宏图高科
sh600613 永生投资
sh601233 桐昆股份
sh600736 苏州高新
sh600818 中路股份
sh600648 外高桥
sh600615 丰华股份
sh600123 兰花科创
sh600864 哈投股份
sh600191 华资实业
sh600644 乐山电力
sh603993 洛阳钼业
sh600651 飞乐音响
sh600131 岷江水电
sh600477 杭萧钢构
sh600811 东方集团
sh600242 中昌海运
sh601628 中国人寿
sh600446 金证股份
sh600325 华发股份
sh600718 东软集团
sh603003 龙宇燃油
sh600198 大唐电信
sh600816 安信信托
sh600188 兖州煤业
sh600565 迪马股份
sh600329 中新药业
sh601677 明泰铝业
sh600100 同方股份
sh601988 中国银行
sh600581 八一钢铁
sh600126 杭钢股份
sh600234 ST天龙
sh600658 电子城
sh603167 渤海轮渡
sh600298 安琪酵母
sh600683 京投银泰
sh600037 歌华有线
sh600373 中文传媒
sh600549 厦门钨业
sh600782 新钢股份
sh601003 柳钢股份
sh600448 华纺股份
sh601169 北京银行
sh600217 秦岭水泥
sh600196 复星医药
sh603002 宏昌电子
sh600598 北大荒
sh600701 工大高新
sh600854 春兰股份
sh601390 中国中铁
sh600810 神马股份
sh600638 新黄浦
sh600452 涪陵电力
sh601777 力帆股份
sh600733 S*ST前锋
sh600808 马钢股份
sh601218 吉鑫科技
sh600684 珠江实业
sh600880 博瑞传播
sh600895 张江高科
sh600605 汇通能源
sh600482 风帆股份
sh600766 *ST园城
sh600322 天房发展
sh600490 中科合臣
sh600082 海泰发展
sh600056 中国医药
sh600259 广晟有色
sh600606 金丰投资
sh600091 ST明科
sh600327 大东方
sh600235 民丰特纸
sh600057 象屿股份
sh600523 贵航股份
sh600463 空港股份
sh601899 紫金矿业
sh600166 福田汽车
sh600747 大连控股
sh600071 凤凰光学
sh601999 出版传媒
sh600428 中远航运
sh600182 S佳通
sh600851 海欣股份
sh601011 宝泰隆
sh600633 浙报传媒
sh600634 ST澄海
sh600600 青岛啤酒
sh600199 金种子酒
sh600575 芜湖港
sh600168 武汉控股
sh600379 宝光股份
sh600529 山东药玻
sh600558 大西洋
sh600515 海岛建设
sh600892 ST宝诚
sh600225 天津松江
sh600418 江淮汽车
sh600796 钱江生化
sh600088 中视传媒
sh600827 友谊股份
sh600372 中航电子
sh601918 国投新集
sh600889 南京化纤
sh600821 津劝业
sh600208 新湖中宝
sh600589 广东榕泰
sh600380 健康元
sh600064 南京高科
sh600787 中储股份
sh600898 三联商社
sh601991 大唐发电
sh600507 方大特钢
sh600681 ST万鸿
sh600495 晋西车轴
sh600085 同仁堂
sh600186 莲花味精
sh600528 中铁二局
sh600653 申华控股
sh601877 正泰电器
sh603123 翠微股份
sh600806 昆明机床
sh601208 东材科技
sh600238 海南椰岛
sh600256 广汇能源
sh600265 ST景谷
sh600675 中华企业
sh600289 亿阳信通
sh600078 澄星股份
sh600262 北方股份
sh600686 金龙汽车
sh600734 实达集团
sh600604 市北高新
sh600103 青山纸业
sh600307 酒钢宏兴
sh600292 九龙电力
sh600395 盘江股份
sh600376 首开股份
sh600243 青海华鼎
sh600506 香梨股份
sh600642 申能股份
sh600300 维维股份
sh600363 联创光电
sh601231 环旭电子
sh600886 国投电力
sh600576 万好万家
sh600486 扬农化工
sh600703 三安光电
sh600218 全柴动力
sh600390 金瑞科技
sh600687 刚泰控股
sh600650 锦江投资
sh600992 贵绳股份
sh600656 ST博元
sh600826 兰生股份
sh600714 金瑞矿业
sh601116 三江购物
sh600039 四川路桥
sh601699 潞安环能
sh600513 联环药业
sh600261 阳光照明
sh601018 宁波港
sh600501 航天晨光
sh601038 一拖股份
sh600148 长春一东
sh600594 益佰制药
sh600765 中航重机
sh600505 西昌电力
sh600038 哈飞股份
sh600220 江苏阳光
sh600705 ST航投
sh600087 *ST长油
sh600253 天方药业
sz002378 章源钨业
sz002571 德力股份
sz300331 苏大维格
sz000589 黔轮胎Ａ
sz300158 振东制药
sz002383 合众思壮
sz002701 奥瑞金
sz002362 汉王科技
sz002188 新 嘉 联
sz000767 *ST漳电
sz000563 陕国投Ａ
sz300075 数字政通
sz000548 湖南投资
sz000058 深 赛 格
sz002645 华宏科技
sz300057 万顺股份
sz002523 天桥起重
sz002088 鲁阳股份
sz300171 东富龙
sz000910 大亚科技
sz002613 北玻股份
sz002623 亚玛顿
sz002473 圣莱达
sz002559 亚威股份
sz002387 黑牛食品
sz000880 潍柴重机
sz000989 九 芝 堂
sz002311 海大集团
sz002060 粤 水 电
sz300321 同大股份
sz300095 华伍股份
sz000859 国风塑业
sz000863 三湘股份
sz300087 荃银高科
sz000717 韶钢松山
sz300033 同花顺
sz002529 海源机械
sz300131 英唐智控
sz300351 永贵电器
sz300089 长城集团
sz002175 广陆数测
sz002113 ST天润
sz000928 中钢吉炭
sz002640 百圆裤业
sz002151 北斗星通
sz000926 福星股份
sz000748 长城信息
sz300354 东华测试
sz002197 证通电子
sz002270 法因数控
sz002409 雅克科技
sz300174 元力股份
sz300256 星星科技
sz002140 东华科技
sz300200 高盟新材
sz002548 金新农
sz300266 兴源过滤
sz000611 四海股份
sz300039 上海凯宝
sz002040 南 京 港
sz000626 如意集团
sz002360 同德化工
sz002272 川润股份
sz002485 希努尔
sz002532 新界泵业
sz300212 易华录
sz300328 宜安科技
sz300133 华策影视
sz002276 万马电缆
sz002030 达安基因
sz002552 宝鼎重工
sz002262 恩华药业
sz300239 东宝生物
sz000686 东北证券
sz000659 珠海中富
sz002289 宇顺电子
sz002428 云南锗业
sz002353 杰瑞股份
sz002354 科冕木业
sz002112 三变科技
sz002321 华英农业
sz002039 黔源电力
sz002237 恒邦股份
sz002402 和而泰
sz002611 东方精工
sz002374 丽鹏股份
sz000021 长城开发
sz002184 海得控制
sz002629 仁智油服
sz000049 德赛电池
sz002069 獐 子 岛
sz000159 国际实业
sz002674 兴业科技
sz002355 兴民钢圈
sz002258 利尔化学
sz002657 中科金财
sz002267 陕天然气
sz002005 德豪润达
sz000799 酒 鬼 酒
sz002016 世荣兆业
sz300249 依米康
sz002348 高乐股份
sz002425 凯撒股份
sz000830 鲁西化工
sz002074 东源电器
sz000070 特发信息
sz300223 北京君正
sz002606 大连电瓷
sz300205 天喻信息
sz002607 亚夏汽车
sz002164 东力传动
sz002018 华星化工
sz002295 精艺股份
sz002421 达实智能
sz300011 鼎汉技术
sz002427 尤夫股份
sz300056 三维丝
sz002408 齐翔腾达
sz002513 蓝丰生化
sz002304 洋河股份
sz000625 长安汽车
sz002557 洽洽食品
sz002116 中国海诚
sz000525 红 太 阳
sz000917 电广传媒
sz000153 丰原药业
sz002384 东山精密
sz002075 沙钢股份
sz002698 博实股份
sz002617 露笑科技
sz002368 太极股份
sz002277 友阿股份
sz002083 孚日股份
sz002108 沧州明珠
sz001896 豫能控股
sz002577 雷柏科技
sz300064 豫金刚石
sz300083 劲胜股份
sz300203 聚光科技
sz002307 北新路桥
sz000856 冀东装备
sz002479 富春环保
sz000788 西南合成
sz000150 宜华地产
sz002324 普利特
sz002555 顺荣股份
sz002020 京新药业
sz002530 丰东股份
sz300201 海伦哲
sz000040 宝安地产
sz002028 思源电气
sz300114 中航电测
sz000776 广发证券
sz002471 中超电缆
sz002580 圣阳股份
sz000673 ST当代
sz002446 盛路通信
sz000573 粤宏远Ａ
sz000911 南宁糖业
sz002192 路翔股份
sz300134 大富科技
sz000030 *ST盛润A
sz002339 积成电子
sz002220 天宝股份
sz002453 天马精化
sz002012 凯恩股份
sz002004 华邦制药
sz002506 超日太阳
sz002590 万安科技
sz002518 科士达
sz300058 蓝色光标
sz002582 好想你
sz300297 蓝盾股份
sz300030 阳普医疗
sz300061 康耐特
sz002464 金利科技
sz000721 西安饮食
sz300072 三聚环保
sz002455 百川股份
sz002407 多氟多
sz002480 新筑股份
sz002014 永新股份
sz002256 彩虹精化
sz300130 新国都
sz300009 安科生物
sz300035 中科电气
sz300260 新莱应材
sz002404 嘉欣丝绸
sz300036 超图软件
sz300153 科泰电源
sz002206 海 利 得
sz000605 *ST四环
sz300248 新开普
sz000837 秦川发展
sz300027 华谊兄弟
sz000039 中集集团
sz000766 通化金马
sz000915 山大华特
sz000818 方大化工
sz300219 鸿利光电
sz002344 海宁皮城
sz000338 潍柴动力
sz300295 三六五网
sz002105 信隆实业
sz000004 国农科技
sz300139 福星晓程
sz300037 新宙邦
sz002500 山西证券
sz000732 泰禾集团
sz300078 中瑞思创
sz002700 新疆浩源
sz300005 探路者
sz002006 精功科技
sz002585 双星新材
sz002236 大华股份
sz300251 光线传媒
sz002564 张化机
sz002296 辉煌科技
sz002356 浩宁达
sz002239 金 飞 达
sz002143 高金食品
sz300132 青松股份
sz300242 明家科技
sz002685 华东重机
sz300090 盛运股份
sz300019 硅宝科技
sz002533 金杯电工
sz002627 宜昌交运
sz300121 阳谷华泰
sz300050 世纪鼎利
sz002397 梦洁家纺
sz300099 尤洛卡
sz000913 钱江摩托
sz300106 西部牧业
sz000918 嘉凯城
sz002633 申科股份
sz002001 新 和 成
sz000407 胜利股份
sz300221 银禧科技
sz000738 中航动控
sz002683 宏大爆破
sz300105 龙源技术
sz000783 长江证券
sz000949 新乡化纤
sz300329 海伦钢琴
sz000701 厦门信达
sz002338 奥普光电
sz000613 ST东海Ａ
sz000024 招商地产
sz000826 桑德环境
sz002036 宜科科技
sz002235 安妮股份
sz002172 澳洋科技
sz000078 海王生物
sz002414 高德红外
sz300107 建新股份
sz300276 三丰智能
sz002662 京威股份
sz000995 ST皇台
sz300140 启源装备
sz000596 古井贡酒
sz000679 大连友谊
sz300084 海默科技
sz000892 *ST星美
sz002288 超华科技
sz000501 鄂武商Ａ
sz002496 辉丰股份
sz002361 神剑股份
sz000731 四川美丰
sz002528 英飞拓
sz000099 中信海直
sz000981 银亿股份
sz002553 南方轴承
sz002439 启明星辰
sz000983 西山煤电
sz000723 美锦能源
sz300104 乐视网
sz002412 汉森制药
sz000950 建峰化工
sz002008 大族激光
sz000959 首钢股份
sz000635 英 力 特
sz002377 国创高新
sz002351 漫步者
sz300187 永清环保
sz002595 豪迈科技
sz300038 梅泰诺
sz002586 围海股份
sz000606 青海明胶
sz000811 烟台冰轮
sz000517 荣安地产
sz002563 森马服饰
sz000931 中 关 村
sz002457 青龙管业
sz300117 嘉寓股份
sz002246 北化股份
sz300277 海联讯
sz002472 双环传动
sz300281 金明精机
sz000511 银基发展
sz002061 江山化工
sz000851 高鸿股份
sz002381 双箭股份
sz300141 和顺电气
sz300126 锐奇股份
sz002263 大 东 南
sz000793 华闻传媒
sz002565 上海绿新
sz300286 安科瑞
sz000719 大地传媒
sz002389 南洋科技
sz300348 长亮科技
sz000727 华东科技
sz002055 得润电子
sz000582 北 海 港
sz000063 中兴通讯
sz002519 银河电子
sz002092 中泰化学
sz000012 南  玻Ａ
sz000838 *ST国兴
sz000893 东凌粮油
sz002469 三维工程
sz000932 华菱钢铁
sz002545 东方铁塔
sz002432 九安医疗
sz002077 大港股份
sz300182 捷成股份
sz300017 网宿科技
sz300091 金通灵
sz000422 湖北宜化
sz000656 金科股份
sz300253 卫宁软件
sz000972 *ST中基
sz000559 万向钱潮
sz002656 卡奴迪路
sz300193 佳士科技
sz000509 SST华塑
sz002637 赞宇科技
sz002241 歌尔声学
sz002163 中航三鑫
sz300320 海达股份
